тип_кредитной_организации,название_организации,дата_выдачи_кредита,сумма_выдачи,сумма_погашенного,сумма_задолженности,статус_кредита,дата_статуса
микрокредит,мани мен,2019-03-21,20000,20900,0,счет закрыт,2019-03-24
микрокредит,смсфинанс,2019-02-06,5000,5760,0,счет закрыт,2019-02-08
микрокредит,мани мен,2019-02-06,5600,5768,0,счет закрыт,2019-02-08
микрокредит,займер,2019-01-27,7500,7725,0,счет закрыт,2019-01-29
микрокредит,смсфинанс,2019-01-22,5000,5375,0,счет закрыт,2019-01-25
микрокредит,мани мен,2019-01-21,4000,4000,0,счет закрыт,2019-01-25
потребительский кредит,драйв клик банк,2016-09-20,27052,32471,0,счет закрыт,2017-06-16
микрокредит,киберлэндинг,2021-05-28,5500,6847,0,счет закрыт,2021-06-24
микрокредит,финтерра,2021-05-21,9500,16825,0,счет закрыт,2021-08-07
микрокредит,киберлэндинг,2021-04-20,5200,6474,0,счет закрыт,2021-05-22
микрокредит,киберлэндинг,2021-03-13,3000,4020,0,счет закрыт,2021-04-16
микрокредит,киберлэндинг,2021-02-14,3500,3549,0,счет закрыт,2021-02-16
микрокредит,киберлэндинг,2021-01-22,7500,8550,0,счет закрыт,2021-02-05
микрокредит,киберлэндинг,2020-11-05,5000,5300,0,счет закрыт,2020-11-11
микрокредит,финтерра,2020-10-15,5520,6861,0,счет закрыт,2020-11-11
микрокредит,киберлэндинг,2020-10-12,16500,20460,0,счет закрыт,2020-11-05
микрокредит,киберлэндинг,2020-10-11,5000,5050,0,счет закрыт,2020-10-12
микрокредит,киберлэндинг,2020-10-04,8000,8480,0,счет закрыт,2020-10-10
микрокредит,киберлэндинг,2020-09-12,5500,6380,0,счет закрыт,2020-09-28
микрокредит,займиго ,2019-07-31,4000,6964,0,счет закрыт,2019-09-01
микрокредит,фжк,2019-07-08,6500,12817,0,счет закрыт,2019-08-12
микрокредит,экофинанс,2019-05-08,4000,5500,0,счет закрыт,2019-06-17
микрокредит,экофинанс,2019-05-04,7000,7420,0,счет закрыт,2019-05-08
микрокредит,экофинанс,2019-02-19,10000,10000,0,счет закрыт,2019-02-25
микрокредит,профессиональные финансы,2018-08-30,5000,5100,0,счет закрыт,2018-08-30
