type of credit institution,сredit institution name,date of loan issue,loan amount(RUB),loan repayment amount(RUB),loan amount owed(RUB),loan status,status date
Микрокредит,"ООО МФК """"Мани Мен""""""",02-04-2020,RUB 10000,RUB 10500,RUB 0,Счет закрыт,07-04-2020
Микрокредит,"ООО МКК """"ДЗП-Центр""""""",18-10-2019,RUB 3980,RUB 7040,RUB 0,Счет закрыт,17-02-2020
Микрокредит,"ООО МФК """"ЗАЙМ ОНЛАЙН""""""",15-10-2019,RUB 10000,RUB 20600,RUB 0,Счет закрыт,24-01-2020
Микрокредит,"ООО МФК """"Мани Мен""""""",14-08-2019,RUB 6500,RUB 18794,RUB 0,Счет закрыт,15-02-2020
Микрокредит,"ООО МКК """"Микроклад""""""",30-07-2019,RUB 6000,RUB 6824,RUB 0,Счет закрыт,13-08-2019
Микрокредит,ООО «МИКРОКРЕДИТНАЯ,29-07-2019,RUB 8640,RUB 9850,RUB 0,Счет закрыт,12-08-2019
Микрокредит,ООО МКК ТУРБОЗАЙМ,29-07-2019,RUB 4000,RUB 4560,RUB 0,Счет закрыт,12-08-2019
Микрокредит,"ООО МФК """"ЗАЙМ ОНЛАЙН""""""",29-07-2019,RUB 8500,RUB 10880,RUB 0,Счет закрыт,12-08-2019
Микрокредит,"ООО """"ПрофиМани""""""",28-07-2019,RUB 5900,RUB 6844,RUB 0,Счет закрыт,12-08-2019
Микрокредит,"ООО МФК """"Мани Мен""""""",27-07-2019,RUB 29500,RUB 34220,RUB 0,Счет закрыт,12-08-2019
Микрокредит,"ООО МФК """"Займер""""""",10-07-2019,RUB 9500,RUB 12650,RUB 0,Счет закрыт,12-08-2019
Микрокредит,"ООО МКК """"ДЗП-Центр""""""",10-07-2019,RUB 5000,RUB 8000,RUB 0,Счет закрыт,26-11-2019
Микрокредит,"ООО МКК """"СМСФИНАНС""""""",07-07-2019,RUB 4000,RUB 6078,RUB 0,Счет закрыт,12-08-2019
Микрокредит,"ООО МКК """"Смсфинанс""""""",07-07-2019,RUB 4000,RUB 6018,RUB 0,Счет закрыт,12-08-2019
Микрокредит,"ООО МФК """"Займер""""""",26-06-2019,RUB 2000,RUB 2420,RUB 0,Счет закрыт,10-07-2019
Микрокредит,"ООО МФК """"Мани Мен""""""",25-06-2019,RUB 3600,RUB 3654,RUB 0,Счет закрыт,26-06-2019
Микрокредит,"ООО МФК """"Займер""""""",19-06-2019,RUB 2000,RUB 2210,RUB 0,Счет закрыт,26-06-2019
Микрокредит,"ООО МКК """"Смсфинанс""""""",13-05-2019,RUB 4000,RUB 6228,RUB 0,Счет закрыт,17-06-2019
Микрокредит,"МФК """"Лайм-Займ"""" (ООО)""",10-05-2019,RUB 5000,RUB 8472,RUB 0,Счет закрыт,17-06-2019
Микрокредит,"ООО МКК """"СМСФИНАНС""""""",08-05-2019,RUB 7000,RUB 10694,RUB 0,Счет закрыт,17-06-2019
Микрокредит,"МФК """"Лайм-Займ"""" (ООО)""",08-05-2019,RUB 8100,RUB 9072,RUB 0,Счет закрыт,08-05-2019
Микрокредит,"ООО МФК """"Займер""""""",08-05-2019,RUB 7000,RUB 11238,RUB 0,Счет закрыт,17-06-2019
Микрокредит,"ООО МКК """"СМСФИНАНС""""""",04-05-2019,RUB 8000,RUB 9112,RUB 0,Счет закрыт,08-05-2019
Микрокредит,"ООО МФК """"Займер""""""",02-05-2019,RUB 5000,RUB 5450,RUB 0,Счет закрыт,08-05-2019
Микрокредит,"ООО МКК """"СМСФИНАНС""""""",26-04-2019,RUB 5500,RUB 6304,RUB 0,Счет закрыт,29-04-2019
Микрокредит,"МФК """"Лайм-Займ"""" (ООО)""",26-04-2019,RUB 10000,RUB 11650,RUB 0,Счет закрыт,29-04-2019
